Messung,Latenz_tz, Latenz_ns
858, 81, 27.00
859, 83, 27.67
860, 85, 28.33
861, 83, 27.67
862, 81, 27.00
863, 81, 27.00
864, 81, 27.00
865, 87, 29.00
866, 83, 27.67
867, 81, 27.00
868, 86, 28.67
869, 86, 28.67
870, 82, 27.33
871, 84, 28.00
872, 82, 27.33
873, 82, 27.33
874, 82, 27.33
875, 83, 27.67
876, 85, 28.33
877, 81, 27.00
878, 89, 29.67
879, 85, 28.33
880, 81, 27.00
881, 83, 27.67
882, 85, 28.33
883, 85, 28.33
884, 83, 27.67
885, 81, 27.00
886, 81, 27.00
887, 87, 29.00
888, 87, 29.00
889, 83, 27.67
890, 84, 28.00
891, 86, 28.67
892, 82, 27.33
893, 86, 28.67
894, 86, 28.67
895, 82, 27.33
896, 82, 27.33
897, 82, 27.33
898, 85, 28.33
899, 81, 27.00
900, 79, 26.33
901, 81, 27.00
902, 81, 27.00
903, 87, 29.00
904, 85, 28.33
905, 87, 29.00
906, 83, 27.67
907, 81, 27.00
908, 87, 29.00
909, 81, 27.00
910, 81, 27.00
911, 83, 27.67
912, 85, 28.33
913, 81, 27.00
914, 86, 28.67
915, 86, 28.67
916, 84, 28.00
917, 78, 26.00
918, 82, 27.33
919, 84, 28.00
920, 82, 27.33
921, 85, 28.33
922, 85, 28.33
923, 596, 198.67
924, 87, 29.00
925, 87, 29.00
926, 89, 29.67
927, 89, 29.67
928, 91, 30.33
929, 87, 29.00
930, 85, 28.33
931, 85, 28.33
932, 87, 29.00
933, 85, 28.33
934, 85, 28.33
935, 83, 27.67
936, 89, 29.67
937, 89, 29.67
938, 89, 29.67
939, 83, 27.67
940, 88, 29.33
941, 90, 30.00
942, 86, 28.67
943, 84, 28.00
944, 82, 27.33
945, 86, 28.67
946, 86, 28.67
947, 86, 28.67
948, 85, 28.33
949, 87, 29.00
950, 89, 29.67
951, 85, 28.33
952, 83, 27.67
953, 85, 28.33
954, 89, 29.67
955, 89, 29.67
956, 85, 28.33
957, 85, 28.33
958, 85, 28.33
959, 83, 27.67
960, 83, 27.67
961, 85, 28.33
962, 85, 28.33
963, 85, 28.33
964, 86, 28.67
965, 84, 28.00
966, 88, 29.33
967, 88, 29.33
968, 88, 29.33
969, 82, 27.33
970, 86, 28.67
971, 86, 28.67
972, 88, 29.33
973, 83, 27.67
974, 81, 27.00
975, 83, 27.67
976, 91, 30.33
977, 89, 29.67
978, 83, 27.67
979, 85, 28.33
980, 87, 29.00
981, 85, 28.33
982, 85, 28.33
983, 83, 27.67
984, 83, 27.67
985, 85, 28.33
986, 85, 28.33
987, 87, 29.00
988, 86, 28.67
989, 86, 28.67
990, 84, 28.00
991, 88, 29.33
992, 88, 29.33
993, 84, 28.00
994, 86, 28.67
995, 86, 28.67
996, 86, 28.67
997, 87, 29.00
998, 87, 29.00
999, 89, 29.67
1000, 85, 28.33
1001, 83, 27.67
1002, 85, 28.33
1003, 85, 28.33
1004, 89, 29.67
1005, 87, 29.00
1006, 87, 29.00
1007, 87, 29.00
1008, 83, 27.67
